title,artist_name,year,duration
Ghetto,Bad Azz,2003,255.84281
Come See,Major Lance,1963,141.42649
Broke Down On The Brazos (Album),Gov't Mule,2009,378.95791
Fat Tuesday,Chris Standring,2003,256.49587
Awake,The Panic Channel,2006,227.99628
Cherokee,The Galactic Heroes,2000,120.86812
Heavenly Father,FU-Schnickens,1992,276.94975
Rock On The Radio,Firehouse,1990,285.3873
The Minuet Of The Robots,Perrey And Kingsley,1968,137.19465
Paseo Colòn,Mau Mau,2004,285.1522
Hide Away,Freddie King,1960,286.82404
Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson),Beenie Man Featuring Janet Jackson,2002,215.90159
Auprès De Mon Arbre,Georges Brassens,1956,184.76363
Basking Under a Blacksun Dawning,Morgion,1997,341.68118
Never Gonna Be The Same,Danny Wilson,1989,167.13098
Brother,Steve Vai,1996,304.71791
Evening,Vanessa Daou,1996,222.04036
Civilized Reggae,Burning Spear,1980,355.18649
Macarena,Los Del Rio,1993,249.49506
Let me fly,Jefferson Starship,1999,329.50812
Midnight,Joe Satriani,1987,185.70404
Dimension,Wolfmother,2004,260.91057
It's Going Down,Suicidal Tendencies,1992,269.81832
Schmerzensschreie,ColdWorld,2008,344.68526
(Everybody's Waiting For) The Man With the Bag,Mannheim Steamroller,2008,149.89016
Running On The Rocks,Shriekback,1986,297.92608
Function Of The Sun,The Ruby Suns,2005,70.89587
What Country Is,Luke Bryan,2009,192.44363
Vos No Confiaste,2 Minutos,1994,179.09506
Blues City Shake Down,John Mayall & The Bluesbreakers,2010,142.15791
Why Get Up,The Fabulous Thunderbirds,1986,229.8771
When I Get Home,The Fabulous Thunderbirds,1991,287.65995
The Southern Soldier Boy,Kathy Mattea,1991,156.62975
Inherent Scars,Symphony in Peril,2005,245.13261
Trading Places,Usher,2008,286.77179
Nothing's The Same,Gary Moore,1992,304.95302
Stolen Pills,Spiral Stairs,2009,146.99057
Now I Got A Woman,John Mayall,2007,264.6722
Flamme & co,Les Ogres De Barback,2004,404.45342
Koronoko,Rokia Traoré,2008,273.08363
Telepathy/Ted Haggard Got Cured of the Gay,Joe Rogan,2010,179.51302
Boyfriend,Janitor Joe,1993,169.22077
Night Won't Last Forever_ The (Kingdom Come Album Version),Charlie Peacock,1999,355.34322
Megalodon,Mastodon,2004,262.89587
Grow Proper,I Wayne,2005,244.32281
We've Only Just Begun (LP Version),Young-Holt Unlimited,1971,266.05669
Soorma,Jazzy B,2005,411.68934
Be My Lover,Brenda Boykin,2008,263.73179
American Ghost Dance (2003 Digital Remastered),Red Hot Chili Peppers,1985,231.23546
I Guess I'm Crazy,Jim Reeves,1990,145.13587
Sophisticated Lady,Toots Thielemans,1955,302.62812
Voices,James Newton Howard,1997,95.50322
Washed Away,Tom Cochrane,1992,320.44363
Song 2,Faith Yang,2009,134.97424
Kill the Poor,Dead Kennedys,1980,184.94649
Over The Hill,R.L. Burnside,1997,257.35791
Drive,The Cars,1984,234.50077
Rock Co.Kane Flow,De La Soul / MF Doom,2004,185.23383
The Beginning,Salt The Wound,2008,96.65261
Future,Cut Copy,2004,312.08444
It All Depends On You,Jerry Lewis,1995,142.73261
Rock Biter (Album Version),Red I Flight,2008,179.01669
It's Too Late,Small Faces,1966,157.46567
The Traffic Jam,Stephen Marley / Damian Marley,2006,247.17016
Hot Spot (Terrible Love Mix),Steinski,2003,169.97832
Memories,George Lopez,2001,153.49506
Shadows,DJ Harry,2004,309.60281
If We Loved,Chuck Wicks,2008,222.01424
Irreplaceable (Irreemplazable),Beyoncé,2007,230.55628
Widow's Walk,Enter the Haggis,1999,381.54404
Resistance,Cali,2008,156.55138
Deviate From The Form,Scar Symmetry,2006,326.60853
Mambo Tipico,Tito Puente,1993,180.00934
Better Luck Next Time,Lifehouse,2005,215.82322
The Door,Silverchair,1997,213.13261
Todo Lo Que Soy,Carlos Ponce,1999,223.60771
Early In The Morning,B.B. King,2002,237.66159
Baby Don't You Change,Tyrone Wells,2005,252.65587
The Three-Dimensional Shadow,Scar Symmetry,2008,237.84444
Dirty Diana,Michael Jackson,1987,281.73016
No-Satellites,She Satellites,1999,149.36771
Call Of Da Wild,OutKast,1994,366.39302
I'd Like To Be,Jim Reeves,1994,121.73016
Arrows Of The Gods,Elliot Goldenthal,2000,91.74159
Conqueror Worm,Tsar,2005,220.42077
E,Rea_ Chris,1999,366.28853
Ladies And Gentlemen,Spiral Stairs,2009,65.51465
White Christmas,Martin Sexton,2005,144.19546
Mate Tron,Luke Vibert,2007,420.15302
Secret,Eddie Turner,2005,254.9024
La Vie Par Procuration,Jean-Jacques Goldman,1985,236.09424
Wing,Patti Smith,1996,293.53751
Beautiful,Paul Glazby,2001,541.51791
Loaded Gun,C.C. Adcock,2004,168.33261
Fig Leaf Rag  (LP Version),Joshua Rifkin,1994,282.09587
Gimme Legs,The Chap,2010,213.89016
Number Nine (LP Version),Richard Lloyd,1979,172.77342
Can't Happen Here,Rainbow,1981,299.57179
Mary In Labor,Paul Cantelon,2008,210.54649
Bush,David Banner,2003,183.90159
Friend Or Foe,Adam Ant,1982,203.91138
The Devil,The Rapture,2006,277.02812
Led By the Master's Hand,The Del McCoury Band,2006,173.97506
Lifeboat Serenade,Jimmy Herring,2008,359.8624
Still Lost in the Forest,Anne Dudley,2000,177.44934
Unfinished Self-Portrait,Eberhard Weber,1993,279.06567
B-Boy Stance,K-OS,2004,238.23628
Song Sung Blue,Neil Diamond,1972,172.38159
Party Time,45 Grave,1989,163.26485
Patricia,Mighty Mighty Bosstones,1989,168.85506
Sloppy Love Jingle_ Pt. 3 (Amended Album Version),Gym Class Heroes,2006,134.922
We're Almost There,Michael Jackson,1975,222.37995
Cúnla/The Friar's Breeches,The Chieftains;Colin James,1992,218.33098
Blame Canada ( From: South Park ),Marc Shaiman,2008,106.81424
Train Tracks,Izzy Stradlin And The Ju Ju Hounds,1992,267.65016
Don't Go,Bert Kaempfert,1996,184.31955
Souvenirs,Concretes,2007,204.85179
Magic,Black Eyed Peas / Terry Dexter,2000,275.04281
Between The Worlds,Be Bop Deluxe,1975,197.82485
Imagination,Beenie Man,2006,230.24281
Vena Cava 8,Diamanda Galas,1993,191.42485
U Complete Me (Blues Version - Bonus Track),Ana Popovic,2007,322.66404
La Nit De Reis,Gertrudis,2003,215.562
Cut Here,The Cure,2001,250.85342
Violence,Juelz Santana / Bezel,2005,254.51057
Radiance I,Basic Channel,1994,811.2322
Crescent Moon,Ancient Astronauts,2009,330.57914
La Romance De La Pluie,Maurice Chevalier,2000,214.5171
Et kütt wie et kütt,Eko Fresh,2007,234.60526
Searching,Buju Banton,1993,256.78322
Ring The Alarm,Beyoncé,2006,212.16608
Sapphire,Bill Douglas,1993,273.97179
Ouachita Run (Album Version),Alvin Youngblood Hart,1998,159.39873
I'm Poured Out Like Water,Tel Basta,1996,220.36853
Ghastly Indoctrination,Dark Fortress,2006,459.33669
Rise,Eddie Turner,2005,306.78159
Kick Jump - Part Jump,Cobra Killer,1998,112.19546
Vuelve Junto A Mi,Los Chichos,1979,242.80771
"Dirty Movies"" (Album Version)",Van Halen,1981,248.00608
The Sun Shines From You,Teenage Fanclub,2000,204.77342
This Ain't Pleasure,L7,1992,163.13424
Mary Had A Little Lamb,Stevie Ray Vaughan And Double Trouble,1988,166.73914
The Sun Shine Down My Way,Doug MacLeod,2004,337.42322
Man  On The Side,Bill Perry,2004,217.88689
Broke Down,Radio Moscow,2009,255.89506
Orgasme Tellurique,Stille Volk,2003,276.37506
Harry Flowers,William Orbit,1993,270.94159
Too Late (Orange Factory Extended Mix),Tina Ann,2003,395.62404
The Lull Before The Storm,Ron Goodwin,1999,99.97016
Mr. Sellack (Album Version),The Roches,1979,243.51302
Love & Devotion,Sizzla,2003,197.48526
Just A Phase,Incubus,2001,353.77587
Just A Little Bit Of You,Michael Jackson,1975,192.57424
I'm Gonna Cry Til' My Tears Run Dry,Irma Thomas,2004,146.88608
Passover,Joy Division,1980,128.67873
Blåsut,Sofia Karlsson,2009,165.69424
Soo Bawlz,Devo,1979,141.08689
L'horizon Chimérique,Julien Clerc,2000,264.93342
First Boyfriend,Helen Love,2007,156.21179
The Mission,30 Seconds To Mars,2002,245.02812
Sting Me,The Black Crowes,1992,348.89098
Cooling Out,Cocoa Tea,1992,241.29261
Little Drummer Boy,The Almost,2008,187.11465
You're Looking Good,Dee Clark,2000,133.3024
Pickled Heads,Elliot Goldenthal,2000,305.50159
Revelations,Marco Beltrami,2009,209.08363
If You Ask Me,Nick Colionne,2006,215.14404
Werewolf_ Semen And Blood,Beherit,1993,185.05098
"Beauty Queen (12"" Spoon Club Mix)",SNAP!,2005,404.37506
Need More Blues,Sleepy John Estes,1993,197.0673
Music Of The Sun,Rihanna,2005,235.98975
Dinner Party Pool Music,Angelo Badalamenti,2001,86.56934
Width Of The World,Tin Hat Trio,2000,407.06567
Street Lights,Kanye West,2008,189.962
Existing Alone,Rhian Sheehan,2001,288.62649
I'll Show You Love,Usher,1994,283.89832
Telling Me Lies,Dolores Keane,1993,229.92934
Love Ain't A Play Thing,Earl Hooker,1968,298.91873
Le bar du grand désir,Michèle Bernard,2002,232.38485
Hot Cross Bun,Mikey Dread,1982,193.12281
Small Axe,Bob Marley,1999,224.96608
Heard 'Em Say,Kanye West / Adam Levine,2005,204.5122
Please Come Home For Christmas,Lou Ann Barton,1986,241.26649
Black Tiger,Y&T,1982,275.9571
My Party (Kenna Remix),Kings Of Leon,2007,225.27955
Scenario,A Tribe Called Quest,1991,251.14077
Evalia,Placebo,2003,260.75383
The Call,Backstreet Boys,2000,236.2771
We're Together Again,Ray Pillow,1998,129.12281
Gone,Frankie J,2005,273.00526
Mine Again,Mariah Carey,2005,241.65832
Just Like Lightnin',Joe Satriani,2006,300.82567
Lost In The Funhouse Again,Michael Stanley Band,1975,220.05506
Hot Tamale Baby,Buckwheat Zydeco,1987,246.49098
Wake Up! Wake Up! (Wake Up! Wake Up! Album Version),Everyday Sunday,2007,168.95955
Everything I Desire,The Brooklyn Tabernacle Choir,1995,226.66404
Ice Cream Cakes,Jeff Beck Group,1972,340.34893
Mama's Boy,Suzi Quatro,1979,217.46893
Informer,Sugar Minott,2008,226.40281
That's The Kind Of Baby For Me,Eddie Cantor,2000,145.31873
Evil Hearted Ada,Flamin' Groovies,1971,199.96689
Genius,Kings Of Leon,2003,168.82893
Neir,Mau Mau,1992,255.55546
Chlore,Pascal Obispo,1994,231.00036
Survivalism,Nine Inch Nails,2007,256.83546
AquaCityBoy,K-OS,2006,161.51465
Runaway Train (LP Version),Geddy Lee,2000,271.46404
Two-Sided Politics,Suicidal Tendencies,1987,61.83138
La Matanza,Grace Gale,2008,247.71873
Beautiful,Eminem,2009,397.60934
L.A. Arteest Café,Stew,2003,299.07546
Cuando Ya Me Empiece A Quedar Solo,Sui Generis,1973,335.33342
Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version),Twista,2005,259.36934
New Detroit,Neon Blonde,2005,170.70975
da da Diamonds,Soul Ballet,2007,224.86159
The Keys,Jerry Goldsmith,1997,110.70649
Proud,Korn,1996,197.53751
Juste Une Fois,Alexis HK,2004,98.66404
Livin' A Lie (Video Mix),Milk Inc.,2001,204.25098
The Blue Side of The Sun,Sigmatropic,2007,263.57506
Love Can Run Faster,Robert Palmer,1978,247.95383
Let's Have Some Fun,Rodney O_ Joe Cooley,1995,222.24934
Refuge,Matisyahu,2004,242.15465
Backseat Driver,Debbie Davies,1998,243.30404
Slips Of Paper,Dave Brockie Experience,2003,126.4322
Old Memory,Ashton Shepherd,2008,260.51873
Over You (feat Joyo Velarde_ prod DJ Shadow),Lyrics Born,2005,256.13016
Ambulance Man,Memphis Jug Band,2001,161.54077
Printemps,Les Ogres De Barback,1999,189.3873
Procession,Vangelis,1990,573.67465
Vennette,Maria Bamford,2003,127.16363
Freight Train,Elizabeth Cotten,1958,295.60118
When Summer's Through,THE CHIFFONS,1963,156.36853
The  First Of The Year,Rubyhorse,2002,228.20526
Airto's Jazz Dance,Flora Purim,2001,246.67383
Multiplayer,Babylon Disco,2007,181.39383
Thresh Hold,Uphill Battle,2004,166.37342
I'll Come Running,Connie Smith,2001,125.67465
Broken Promises (album version),Moments In Grace,2004,195.91791
Stagger Lee,Nick Cave & The Bad Seeds,1996,315.08853
Two Four One,Dave And Ansel Collins,1971,151.84934
Still Love Remains (Album Version),Seal,1998,354.76853
Letters to Norway,Planetakis,2007,234.73587
Turnpike,Halfway to Gone,2004,255.42485
Absolute Horizon,Byzantine,2008,300.01587
Maybe Someday...,Simply Red,1987,258.08934
Life Is Real,Ayo,2006,534.62159
Spoonful,Robben Ford,2009,367.98649
j Uh!,Juana Molina,2004,213.26322
Active,Dark Party,2008,261.58975
(Do)Minion,Eluveitie,2010,307.69587
Nightly Cares,Múm,2004,249.05098
Into Battle,Ensiferum,2004,352.49587
Get On Our Own,Buzzcocks,1978,144.77016
Lively Up Yourself,Bob Marley,1991,173.24363
Anybody Seen My Girl,Keb'Mo',1994,176.5873
Just My Baby,Rickie Lee Jones,1989,314.72281
I denna ljuva sommartid,Sofia Karlsson,2002,340.21832
Ku Klux Klan,Steel Pulse,1978,231.49669
Shape Of My Heart,Backstreet Boys,2000,173.5571
I Remember,Patrick Lamb,2007,290.37669
When I Grow Up,Fever Ray,2009,359.36608
Sweet & Dandy,Toots & The Maytals,1984,169.53424
Somos Gitanos,Gipsy Kings,2001,222.92853
The Last Round,Amoral,2004,520.88118
You've Never Been Right - (Live In Boston_ MA 2008),Melvins,2009,165.38077
Magdalaine,L.A. Guns,1989,398.44526
Decir Adios,Carlos Ponce,1999,269.97506
Knowledge Is King,Kool Moe Dee,1989,219.76771
Noches Arabes,Los Fabulosos Cadillacs,1986,187.0624
Memphis In The Meantime,John Hiatt,1987,239.5424
Another Year,K's Choice,2000,207.56853
Horrible,Jack Off Jill,1995,149.36771
Turntable Terrorist,Sonic Subjunkies,1995,327.73179
(Wake Up) Time to Die,Lizzy Borden,1985,371.19955
PDA,Backstreet Boys,2009,228.38812
Porcelain Man,John Debney,1999,76.79955
I Only Have Eyes For You (Album Version),John Stevens,2005,245.44608
U Never Nu How Good U Had It,Lisa Lisa & Cult Jam (featuring Full Force),1989,285.12608
Be With Me,Mindy McCready,2002,231.33995
Knowledge Of Self (Evol Intent Remix),BT,2004,253.07383
Right Now,Korn,2003,185.93914
Special Someone,Geggy Tah,2001,231.54893
Strange Kinda Feeling (Take 4),Elmore James,1993,57.39057
Improv #1,Gonzalo Rubalcaba,2006,206.00118
Fingerprints,Minipop,2007,163.00363
Distant Voices,Atman,2002,268.22485
Losing Weight Part 2,Cam'Ron / Juelz Santana,2002,366.05342
Kids In the Store,George Lopez,2003,261.51138
Jody,Jeff Beck Group,1971,367.46404
Star,Krystof,2004,301.24363
Real McKoy Feat. Busy Signal,Mavado,2007,211.30404
Nobody's Perfect,Mike And The Mechanics,1988,283.24526
Give Your Heart a Home,Don Francisco,1991,280.73751
Vollmond,In Extremo,2000,297.45587
Tigers Fucking (Spoken Word) (Album Version),Joe Rogan,2000,356.362
Romance,Whitney Cummings,2009,48.63955
Christelle Est Une Ordure,Bénabar,2005,224.9922
Mystic River,Blue Rodeo,2007,251.402
I Love It [Clubstar Remix],Sneaky Sound System,2006,342.02077
My Mind Is Gone,3 Steps Ahead,1997,45.50485
Prove Something (explicit album version),Fat Joe,2002,235.17995
No La Dejes Sola,Los Titanes,2008,214.17751
Punjabian Di Chale Glassi,Bally Sagoo,2003,282.25261
People Like New (LP Version),Seven Mary Three,1997,238.10567
Arnold Layne,David Gilmour Featuring Richard Wright,2006,202.1873
Piranha,Bumblefoot,2008,200.35873
It's Not Unusual,Willie Bobo,2008,139.49342
Fixin' To Die Blues,Bukka White,1940,172.30322
Venice Queen (Album Version),Red Hot Chili Peppers,2002,367.01995
I Can't Wait 'Til Christmas (LP Version),Bryan White,1999,240.90077
Gun Thirsty,Bounty Killer,2001,225.25342
Dedicated To The One I Love,The Shirelles,1960,127.29424
Uptown,Camp Lo,2009,214.46485
Walking In Dub,Burning Spear,2009,146.88608
Ego Trip by Nikki Giovanni,Blackalicious,1999,104.93342
Hollow Dream,M.I.K.E.,2006,440.52853
I Know Somethin (Bout You),Alice In Chains,1990,261.77261
That Blows My Mind (Slammin' and Way Out There!),The Gone Jackals,1998,228.93669
Evil Ways,Otis Spann,1989,233.63873
No Comprimise_ No Regrets,Hanoi Rocks,2005,240.66567
Destroy 2000 Years Of Culture,Atari Teenage Riot,1997,231.47057
Crack,RUN-DMC,1988,101.74649
Rock Of Gibraltar,Nick Cave & The Bad Seeds,2003,180.03546
O Come All Ye Faithful,Nando Lauria,2003,210.52036
Juguete,Cheo Feliciano,1972,269.26975
I Put a Spell on You,Screamin' Jay Hawkins,1956,211.33016
Shogun [with fade_ for special edition],Trivium,2008,678.76526
Out Of The Blue,Tommy James And The Shondells,1989,146.02404
Satin Doll,Terry Callier,2007,258.19383
The Raggle Taggle Gypsy,The Chieftains,2003,187.92444
Can You Dance With Me?,Andrew W.K.,2006,127.4771
Buddy and Santa's Flight,John Debney,2003,74.762
Outro,Rakim,1997,79.93424
The Happy Organ,"Dave ""Baby"" Cortez",1976,125.6224
No Night In Zion - Original,Count Ossie,1994,234.9971
Piece Of My Heart,Janis Joplin,1972,266.23955
Tootie Blues,Paul Geremia,2004,204.56444
Hot Night Downtown,Charlie Peacock,1988,202.34404
No More Blues,Jimmy Wyble,2005,181.96853
Obstacles in My Way,Walter Trout,1997,233.24689
La Marca De Tus Labios,Sergio Dalma,1995,279.24853
Ammunition,The Jane Shermans,2008,235.49342
Face Drop,Sean Kingston,2009,184.58077
Gone Dead On You Blues,Blind Lemon Jefferson,1972,165.35465
I Love This Town,Bon Jovi,2007,286.35383
Les chasseurs d'esclaves,Gabriel Yared,2006,118.83057
Got To Find My Little Woman,Blind Boy Fuller,2005,151.19628
Immonumental,Flowin Immo et Les Freaqz,2009,185.10322
Tabloid Junkie,Michael Jackson,1995,272.71791
Limosna De Amores,Isabel Pantoja,1999,237.322
Superstar,BigElf,2008,225.59302
Borrow Mine,Bebo Norman,2004,280.39791
Mi Alma Esta Enamorada,Bobby Pulido,1996,233.06404
Bubulina,Sui Generis,1975,319.00689
Under The Palms,Photek,2000,157.3873
Death Don't Have No Mercy,Hot Tuna,1970,375.562
Life,Cece Winans,1998,248.99873
On The Boards,Taste,1970,362.03057
She Will Never Let Me Down,Toots & The Maytals,1998,125.88363
Evenfall,Dark Fortress,2010,336.16934
Confused,Deborah Coleman,2000,209.44934
Fleeting sound,Time Factory,2006,243.56526
Down On My Knees,Ayo,2006,240.95302
Rainin' In My Heart,The Fabulous Thunderbirds,1989,221.23057
Soon Come (2002 Digital Remaster),Peter Tosh,1978,238.23628
An Afternoon On the Moon (Jet Jaguar's Remix),Rhian Sheehan,2001,200.77669
The Bubble,Tha Liks featuring King T,2001,251.6371
La Ley De La Vida,Fito Paez,2010,273.03138
Goodnight Girl,Wet Wet Wet,1992,257.25342
Awake (Album Version),Onesidezero,2001,228.80608
Maudits anglois,Alexis HK,2009,202.57914
Wanna Be A Star,Kool Keith,1996,222.30159
If I Had My Way I'd Tear This Building Down,Blind Willie Johnson,1996,189.3873
When The Saints Go Marching In,Precious Bryant,2002,164.8322
Humppa,Kapelle Herrenweide,2009,214.36036
Waterfall,Jeff Wahl,2003,43.88526
Town Topic (Instrumental),Casiotone For The Painfully Alone,2008,115.17342
Contessa Entellina,Stephan Micus,2001,274.65098
Luminous Bliss,Atman,2005,290.48118
When Will I Be Loved,Sandy Posey,1990,125.36118
Pranafestation,Desert Dwellers,2006,406.17751
The Drop-Off,The Tragically Hip,2006,219.89832
There Will Be Blood Tonight,Lizzy Borden,2000,235.65016
Let's Get It Started,Black Eyed Peas,2004,223.03302
Harlem Shuffle,Righteous Brothers,1999,188.55138
Collapsar,Brand X,1977,95.76444
Bubbles in My Beer,Bob Wills,1991,137.42975
Stranger In My Room,Year Long Disaster,2010,222.04036
Sangre americana,Bacilos,2004,229.32853
Wigue,Dobet Gnahoré,2010,46.21016
