artist_name,title,year,duration
Aerosmith,Lord Of The Thighs,1974,425.03791
Aerosmith,Reefer Head Woman,1979,241.8673
Aerosmith,Angel,1987,335.33342
Aerosmith,What It Takes,1988,314.27873
Aerosmith,Janie's Got A Gun,1989,329.69098
Aerosmith,Milkcow Blues,1991,255.65995
Aerosmith,Cryin',1993,308.76689
Aerosmith,Crazy,1993,318.61506
Aerosmith,Crazy,1993,319.73832
Aerosmith,Livin' On The Edge,1993,324.07465
Aesop Rock,Flashflood,2001,234.52689
Aesop Rock,Coma,2001,236.64281
Aesop Rock,Train Buffer,2002,243.56526
Aesop Rock,Limelighters (feat. Camp Lo) / Flunkadelic Interlude,2003,273.60608
Aesop Rock,N.Y. Electric / Hunter Interlude,2003,310.80444
Africando,Lindas Africanas,2003,460.48608
Africando All Stars,Mopao,2003,274.25914
Afrob feat. Sarah,Gief Konjunkturpaket VI,2009,258.19383
Agnostic Front,Undertow,1992,179.09506
Agnostic Front,Sickness,1999,92.18567
Agnostic Front,Rock Star,1999,94.6673
Agnostic Front,Standing On My Own,2001,105.84771
Agnostic Front,Separate Ways,2002,158.32771
Agnostic Front,No One Hears You,2004,98.11546
Agnostic Front,Come Alive,2007,122.17424
Ai Ai Ai,Com Una Flama,1994,253.98812
Aiden,Teenage Queen (Album Version),2007,206.8371
Aiden,She Will Love You (Album Version),2007,258.82077
Aiden,Killing Machine,2009,140.40771
Aiden,Black Market Hell,2009,759.09179
Airto Moreira,Hala_ Tumba And Timbal,2003,312.99873
Aisha Duo,Beneath an Evening Sky,2005,288.60036
Aisha Duo,Sea_ Subsurface,2005,350.64118
Akon,Lonely,2004,211.66975
Akon,Don't Matter,2006,249.39057
Akon,Over The Edge,2008,266.89261
Al Denson,Rain Love,1999,249.67791
Al Di Meola,Bianca's Midnight Lullaby,1980,114.07628
Al Di Meola,Splendido Sundance,1980,291.02975
Al Di Meola,Calliope,1983,257.30567
Al DiMeola,God Bird Change,1982,231.00036
Al DiMeola,July,1992,319.84281
Alan Silvestri,We're Out Of Gas,1990,77.60934
Alan Silvestri,Full House,2006,81.50159
Alan Silvestri,The Joes Mobilize,2009,504.05832
Albert Ayler,Music Is The Healing Force Of The Universe,1969,632.34567
Albert Collins,Same Old Thing,1993,356.25751
Albert King,Watermelon Man,1968,244.27057
Alberto Cortez,Distancia,1989,252.78649
Alceu Valença,Sete Desejos,1992,205.87057
Alceu Valença,Na Primeira Manhã,1997,162.84689
Alceu Valença,Cintura Fina,1998,188.65587
Alejandro Lerner,Canta Una Canción De Amor,1984,232.48934
Alejandro Lerner,No Hace Falta Que Lo Digas,1984,263.6273
Alejandro Lerner,Todo A Pulmón,1998,267.31057
Alex Gopher,Song For Paul,2007,164.0224
Alex Ubago,Temblando,2003,201.09016
Alex Ubago,Ciudad desierta,2009,186.09587
Alex Ubago,20 horas de nada,2009,216.58077
Alexander O'Neal,When A Man Loves A Woman,2008,183.11791
Alexander O'Neal,Unbreak My Heart,2008,267.25832
Alexander O'Neal,Secret Lovers (Featuring Mica Paris),2008,268.2771
Alexander O'Neal,Saturday Love,2008,301.45261
Alexandre Desplat,Palmer enquête,2004,70.26893
Alexandre Desplat,Breaking In,2005,177.03138
Alexandre Desplat,The Epi-Pen,2006,239.38567
Alexandre Desplat,Meeting Daisy,2008,81.71057
Alexandre Desplat,High-Speed French Train,2009,86.22975
Alexandre Desplat,Le Chagrin de Coco,2009,177.42322
Alexandre Desplat,Hidden Documents,2010,128.62649
Alexis HK,Juste Une Fois,2004,98.66404
Alexis HK,Maudits anglois,2009,202.57914
Alexis HK,La paix des étoiles,2009,202.94485
Alexisonfire,Mailbox Arson,2005,212.11383
Alice Cooper,Caught In A Dream (Album Version),1971,189.90975
Alice Cooper,Be My Lover,1971,197.90322
Alice Cooper,Make That Money (Scrooge's Song) (Album Version),1982,209.47546
Alice Cooper,Goin' To The River,1982,210.54649
Alice Cooper,This House Is Haunted,2003,210.54649
Alice In Chains,I Know Somethin (Bout You),1990,261.77261
Alice In Chains,Would?,1992,223.26812
Alice In Chains,God Smack,1992,230.60853
Alice In Chains,Angry Chair,1992,262.47791
Alice In Chains,Brother,1992,267.36281
Alice In Chains,Sickman,1992,329.37751
Alice In Chains,Take Her Out,2009,239.35955
Alice In Chains,Lesson Learned,2009,256.522
Alicia Keys,Heartburn,2003,183.43138
Alicia Keys,If I Ain't Got You,2003,231.18322
Alicia Keys,Karma,2003,255.99955
Alicia Keys,If I Was Your Woman,2005,244.45342
Alicia Keys,Wait Til You See My Smile,2009,240.22159
All Girl Summer Fun Band,Rewind,2008,138.97098
All Girl Summer Fun Band,Everything I Need,2008,212.84526
All Shall Persih,The True Beast,2006,215.61424
All Time Low,Shameless,2007,221.67465
All Time Low,Umbrella,2008,227.70893
Alphonse Mouzon,The Ram And The Scorpio,1977,355.21261
Alternative TV,Nasty Little Lonely,1978,305.71057
Alternative TV,Dub In Bed,1981,180.63628
Alternative TV,Lemons_ For Kevin,1994,237.08689
Alvin Youngblood Hart,Ouachita Run (Album Version),1998,159.39873
Alvino Rey And His Orchestra,Steel Guitar Rag,2005,156.05506
Alvino Rey And His Orchestra,My Buddy,2005,193.74975
Amil,Anyday,2000,248.5024
Amil,Get Down,2000,269.19138
Amoral,Metamorphosis,2001,306.38975
Amoral,The Last Round,2004,520.88118
Amoral,Perfection Design,2009,238.94159
Amorphis,The Lost Name of God,1992,332.06812
Amorphis,Into Hiding,1994,225.41016
Amorphis,And I Hear You Call,1997,280.97261
Amorphis,Crimson Wave,2001,285.46567
Amy Winehouse,Stronger Than Me,2003,256.10404
Amy Winehouse,In My Bed,2003,274.99057
Amy Winehouse,Valerie,2007,229.85098
Ana Popovic,Shadow After Dark,2007,263.83628
Ana Popovic,U Complete Me (Blues Version - Bonus Track),2007,322.66404
Ancient Astronauts,Crescent Moon,2009,330.57914
Andreas Dorau,Das Telefon sagt Du,1994,231.10485
Andreas Dorau,So Ist Das Nun Mal,1997,312.94649
Andreas Dorau,So ist das nun mal,1997,395.17995
Andreas Dorau,Du Verstehst Mich Nicht,2005,267.36281
Andrew W.K.,Long Live The Party,2003,240.40444
Andrew W.K.,Can You Dance With Me?,2006,127.4771
Andrew W.K.,Don't Call Me Andy,2006,165.51138
André Minvielle,Les Chaudrons,2007,295.96689
André Verchuren,Maria Morena,1989,139.62404
André Verchuren,Aviatic,1989,170.1873
André Verchuren,Un P'Tit Brin De Musette,2001,165.04118
Andy & Lucas,Hasta Los Huesos,2003,208.92689
Andy & Lucas,Quiero Ser Tu Sueño,2005,207.62077
Andy & Lucas,Dime Si Me Quieres,2008,213.52444
Andy & Lucas,Amores Cobardes,2008,234.63138
Angelo Badalamenti,Jeffrey's Dark Side,1987,109.37424
Angelo Badalamenti,Dinner Party Pool Music,2001,86.56934
Angélica María,Una Sopita De Tu Propio Chocolate,1997,171.2322
Ann Hampton Callaway,For All We Know,2005,304.71791
Ann Lee,So deep,2000,380.08118
Anna Abreu,Shame,2007,205.45261
Anne Dudley,Still Lost in the Forest,2000,177.44934
Anne Dudley,A Stepmother's Curse,2000,184.39791
Anne Dudley,Victims of the occupation,2006,94.69342
Anne Dudley,Rachel's retribution,2006,280.86812
Annie Blanchard,La vérité,2007,252.44689
Annie Blanchard,Sur L'autre rive,2007,260.80608
Annie Lennox,Little Bird,1992,385.01832
Annie Lennox,A Whiter Shade Of Pale,1995,316.76036
Annie Lennox,Erased,2003,280.00608
Anthony Blea Y Su Charanga,Tumba Randy,2004,459.28444
Anthony Cruz,Make it up,2005,264.14975
Anti-Flag,Tearing Everyone Down,1998,175.25506
Anti-Flag,This Is NOT a Crass Song,1999,359.6273
Anti-Flag,Spaz's House Destruction Party,2001,184.05832
Anti-Flag,I Don't Wanna be a War Hero,2003,99.00363
Anti-Flag,Death Of A Nation,2003,115.53914
Anti-Flag,The Modern Rome Burning,2008,299.80689
Anti-Flag,On Independence Day,2009,171.59791
Anti-Flag,The Gre(A)t Depression,2009,188.55138
Antigone Rising,Don't Look Back (Radio Edit),2005,213.55057
Apache Indian,Badd Indian,1993,273.18812
Aphasia,"sample processing failed (part one: ""why don't you fuckin' remember anything ?"")",2001,207.5424
Aphasia,"non-existent track (part one: ""why don't you fuckin' remember anything ?"")",2001,244.32281
Aphasia,"mixture of noize (part two: ""walter sobchak"" - live extract)",2001,984.55465
April Wine,Say Hello,1979,179.04281
April Wine,Babes In Arms,1979,200.9073
April Wine,Caught In The Crossfire,1981,214.43873
Arc Angels,Sent By Angels,1992,344.05832
Arc Angels,See What Tomorrow Brings,1992,386.79465
Archie Bell and The Drells,I've Been Trying,2004,193.95873
Architecture In Helsinki,Need To Shout,2005,249.28608
Architecture In Helsinki,The Same Old Innocence,2007,210.49424
Arctic Monkeys,Dancing Shoes,2004,141.13914
Arctic Monkeys,Fake Tales Of San Francisco,2004,177.94567
Arctic Monkeys,From The Ritz To The Rubble,2004,193.43628
Arne Weise,Sommarens sista mås,2002,198.24281
Arsonists Get All The Girls,Skiff For The Suits,2009,218.48771
Arsonists Get All The Girls,Violence in Fluid Triceratops,2009,240.92689
Art Ensemble Of Chicago,Sirius Calling,2004,207.09832
Art Ensemble Of Chicago,He Took A Cab To Neptune,2004,384.54812
Arthur Brown,Time / Confusion,1968,297.03791
Arthur Brown,Child Of My Kingdom,1968,422.16444
Arthur Tracy,So Do I,1993,165.642
Arthur Tracy,A Sailboat In The Moonlight,1993,173.89669
Arthur Tracy,Red Sails In The Sunset,1993,180.32281
Arturo Sandoval,Waheera,1995,315.48036
Arturo Sandoval,Luna de miel en Guama,1997,238.28853
Arturo Sandoval,Almendra,1997,271.43791
Arturo Sandoval,My Funny Valentine,2003,266.60526
Ashton Shepherd,Sounds So Good,2008,207.09832
Ashton Shepherd,Old Memory,2008,260.51873
Ashtrax,Future Traffic Song,2002,278.36036
Asleep At The Wheel,Hot Rod Lincoln,1988,399.04608
Asleep At The Wheel,The Letter That Johnny Walker Read,2002,238.21016
Asleep At The Wheel,I Hate Christmas,2007,180.50567
Astarte,Thorns of Charon (Pt. 2) - Emerge from Hades,1998,419.97016
Astarte,Voyage to eternal Life,1998,568.78975
Astarte,Risen From Within,2000,173.81832
Astarte,Oblivious Darkness,2002,515.36934
Aswad,Ina Your Rights,1981,280.94649
At All Cost,Drugs,2007,443.68934
At The Gates,City Of Screaming Statues,1991,286.04036
Atari Teenage Riot,Destroy 2000 Years Of Culture,1997,231.47057
Atari Teenage Riot,Revolution Action,1999,249.46893
Atari Teenage Riot,Live At Brixton Academy 1999,2000,1598.1971
Atman,Lingan,1997,341.36771
Atman,Govinda,1997,394.86649
Atman,All Is One,1998,433.94567
Atman,Distant Voices,2002,268.22485
Atman,Luminous Bliss,2005,290.48118
Atman,Dancing With the Goddess (ttt rmx),2007,264.25424
Atomic Rooster,The Rock,1971,269.71383
Atomic Rooster,Close Your Eyes,1972,158.77179
Atomic Rooster,Little Bit of Inner Air,1972,159.60771
Atomic Rooster,Stand By Me,1972,203.31057
Atomic Rooster,Living Underground,2005,220.39465
Atomic Rooster,Take It For Granted,2005,249.93914
Atomship,Whitfield,2004,296.04526
Atreyu,Blood Children (an Introduction) (Album Version),2004,74.34404
Atreyu,You Eclipsed By Me (Album Version),2004,218.90567
Atreyu,Nevada's Grace (Album Version),2004,227.99628
Atreyu,The Remembrance Ballad (Album Version),2004,267.17995
Atreyu,Gallows (Album Version),2009,208.66567
Audio Adrenaline,My God  (Audio Adrenaline Album Version),1992,219.11465
Audio Adrenaline,Some Kind Of Zombie (Criscoteque Remix),1997,279.97995
Auf Der Maur,Taste You,2004,277.89016
Autumnblaze,Her Golden Robe In Silence Veiled,1999,286.24934
Autumnblaze,Haughtiness And Puerile Dreams,2009,277.75955
Avril,The Matter With You (Part I_ Ii_ Iii),2000,651.59791
Avril - Remix By Ana Rago,The Date (Remix By Ana Rago),2002,188.39465
Avril Lavigne,Unwanted,2001,260.44036
Avril Lavigne,How Does It Feel,2004,224.93995
Avril Lavigne,Innocence,2007,232.202
Axe,Midnight  (LP Version),1983,211.53914
Aynsley Lister,Crazy,2009,227.10812
Ayo,Complain,2006,212.71465
Ayo,Watching You,2006,232.28036
Ayo,Down On My Knees,2006,240.95302
Ayo,Down On My Knees,2006,244.06159
Ayo,Welcome Into My World,2006,264.56771
Ayo,These Days,2006,288.31302
Ayo,Only You,2006,288.49587
Ayo,Life Is Real,2006,534.62159
Azis,Anti Geroi,2006,281.88689
B.B. King,Please Love Me,1956,170.68363
B.B. King,Early In The Morning,2002,237.66159
B.B.King,Please Love Me,1956,167.49669
B.o.B,Nothin' On You [feat. Bruno Mars] (Album Version),2010,269.63546
BB King,She Don't Move Me No More,1995,186.40934
BLEED THE SKY,Kettle Black,2008,202.91873
BMX Bandits,After I Made Love To You,2007,208.40444
BT,Mercury & Solace,2000,506.27873
BT,Knowledge Of Self (Evol Intent Remix),2004,253.07383
BT,Korean Waterhole,2005,94.9024
BT,Henrys Death,2005,214.54322
BT,Ver de Feliz,2006,311.90159
BT feat. JES,Every Other Way,2010,550.97424
Babe Ruth,Dancer (2007 Digital Remaster),1975,365.16526
Baby Bash / Grimm,Changed My Life,2003,231.07873
Baby Huey & The Baby Sitters,California Dreamin' (LP Version),1971,288.36526
Babylon Disco,Funk You,2005,153.44281
Babylon Disco,Multiplayer,2007,181.39383
Babylon Disco,Error,2007,208.90077
Bacilos,Sangre americana,2004,229.32853
Back Door Slam,It'll All Come Around (Album Version),2007,236.87791
Back Door Slam,Heavy On My Mind (Album Version),2007,319.84281
Backstreet Boys,Larger Than Life,1999,236.25098
Backstreet Boys,Shape Of My Heart,2000,173.5571
Backstreet Boys,The Call,2000,236.2771
Backstreet Boys,PDA,2009,228.38812
Bad Azz,Tha Stand,1998,211.30404
Bad Azz,Ghetto,2003,255.84281
Bad Brains,Destroy Babylon,1983,85.26322
Bad Brains,Riot Squad (1991 Digital Remaster),1983,119.71873
Bad Brains,At The Movies (1991 Digital Remaster),1983,136.38485
Bad Brains,God Of Love (Album Version),1995,163.18649
Bad Brains,At The Atlantis,1996,118.04689
Bad Company,Rock Steady,1974,229.58975
Bad Company,Rock Steady,1974,249.83465
Bad Company,Call On Me,1975,365.24363
Bad Company,Simple Man,1976,296.12363
Bad Company,Crazy Circles,1979,211.1473
Bad Company,Take The Time,1979,253.02159
Bad Company,Valerie (LP Version),1986,208.87465
Bad Religion,Doing Time (Album Version),1982,180.81914
Bad Religion,Fertile Crescent (bonus track),1992,138.52689
Bad Religion,Infected,1994,247.58812
Bad Religion,Flat Earth Society (Album Version),1995,141.19138
Bad Religion,The Lie,2002,138.84036
Bad Religion,You Don't Belong,2002,169.87383
Bad Religion,Epiphany,2002,239.882
Badmarsh & Shri,Dancing Drums,1997,497.13587
Badmarsh & Shri,Bang,2001,263.31383
Bally Sagoo,Punjabian Di Chale Glassi,2003,282.25261
Bare Jr.,Snippet 15,1998,3.99628
Bare Jr.,Tobacco Spit,1998,230.05995
Bare Jr.,Naked Albino,1998,254.79791
Barenaked Ladies,This Is Where It Ends (Album Version),1996,173.19138
Baroness,Wanderlust,2007,269.71383
Baroness,Grad,2007,354.79465
Baroness,The Sweetest Curse,2009,270.52363
Barry Manilow,This One's For You,1976,209.13587
Barry Manilow Featuring The Glenn Miller Orchestra with Debra Byrd,Don't Sit Under The Apple Tree,1994,172.06812
Basement Jaxx,Jump N Shout Featuring Slarta John (Radio Edit),1999,218.14812
Basement Jaxx,La Photo,1999,240.01261
Basement Jaxx,Sfm,2001,161.85424
Basement Jaxx,Twerk (feat. Yo Majesty),2009,210.20689
Basic Channel,Phylyps Trak II/II,1994,793.62567
Basic Channel,Radiance I,1994,811.2322
Basic Channel,Q1.1 Edit,1995,62.92853
Basic Channel,Q Loop,1995,329.01179
BassTurk,Unutmam,2008,259.05587
Be Bop Deluxe,Between The Worlds,1975,197.82485
Be Bop Deluxe,Music In Dreamland,1975,285.1522
Be Bop Deluxe,Piece Of Mine,1977,312.58077
Be Bop Deluxe,Sister Seagull (Live),1991,221.93587
Beastie Boys,Shadrach,1989,247.7971
Beastie Boys,Eugene's Lament,1994,132.51873
Beastie Boys,Get It Together,1994,245.7073
Beastie Boys,Crawlspace,2004,173.60934
BeauSoleil,'Ti Monde (LP Version),1991,268.30322
Beautiful Creatures,Wish (Album Version),2001,263.96689
Bebe Winans,Love Thing,2002,278.22975
Bebe Winans / Stephanie Mills,Everyday,2000,324.93669
Bebo & Cigala,Inolvidable,2003,198.26893
Bebo Norman,Borrow Mine,2004,280.39791
Bebo Norman,Sunday,2006,219.45424
Bebo Norman,Britney,2008,213.4722
Becky Baeling,If You Love Me,2003,247.66649
Becoming The Archetype,Ex Nihilo,2005,308.74077
Becoming The Archetype,End Of The Age,2008,389.95546
Bedrock,Emerald,2004,501.86404
Beenie Man,Politrix,2006,213.10649
Beenie Man,Imagination,2006,230.24281
Beenie Man Featuring Janet Jackson,Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson),2002,215.90159
Behemoth,Chant For Eschaton 2000,1999,321.48853
Behemoth,Malice,2000,146.46812
Behemoth,Hello Space Boy,2000,209.05751
Behemoth,Here And Beyond,2002,206.44526
Behemoth,No Sympathy For Fools,2002,229.40689
Behemoth,Before The Æons Came,2004,178.33751
Behemoth,He Who Breeds Pestilence,2009,341.2371
Beherit,Witchcraft,1990,192.13016
Beherit,Werewolf_ Semen And Blood,1993,185.05098
Beherit,Lord of Shadows and Golden Wood,1993,202.91873
Beherit,Sense,1995,625.57995
Beherit,Suck My Blood,2009,266.89261
Belle & Sebastian,Stay Loose,2003,401.8673
Belle and Sebastian,I Could Be Dreaming,1996,226.92526
Belle and Sebastian,Like Dylan In The Movies,1996,250.69669
Belphegor,The Sukkubus Lustrate,2008,178.15465
Belphegor,Armageddon's Raid,2008,308.76689
Ben Harper And The Blind Boys Of Alabama,Take My Hand,2004,234.65751
Ben Jelen,Wicked Little Town (Album Version),2004,240.32608
Ben Sidran,Blowin' In the Wind,2009,307.80036
Ben Watt feat. Estelle,Pop A Cap In Yo' Ass,2005,389.19791
Benabar,Porcelaine,2001,235.02322
Benabar,Le Zoo De Vincennes,2003,238.44526
Beneath The Sky,No Such Thing As Control (Album Version),2007,275.9571
Benga,The Future,2006,277.55057
Benga,Zero M2,2008,233.16853
Beogradski Sindikat,Slatke male maloletnice,2002,415.50322
Beres Hammond,Call On The Father,2003,229.51138
Berlin,Blink Of An Eye (Alternative),2002,255.32036
Berlin,Now It's My Turn (Aqualite Mix),2004,231.18322
Berrogüetto,Nadal De Luintra,2000,242.62485
Bersuit Vergarabat,Bolivian Surf,1996,180.11383
Bersuit Vergarabat,Bolero Militar,1996,208.56118
Bersuit Vergarabat,De Onda,1998,181.18485
Bersuit Vergarabat,Se Viene,1998,220.29016
Bersuit Vergarabat,Sencillamente,2005,307.35628
Bert Kaempfert,Don't Go,1996,184.31955
Bert Kaempfert,Happy Safari,1997,169.89995
Bert Kaempfert,Sugar Bush,1997,201.42975
Bessie Smith,Chicago Bound Blues,1991,187.03628
Bessie Smith,Gin House Blues,2007,195.70893
Beth Nielsen Chapman,Fair Enough (LP Version),1997,220.05506
Between The Buried And Me,Use Of A Weapon (Album Version),2002,291.39546
Between The Buried And Me,Kickstart My Heart (Album Version),2006,295.28771
Between The Buried And Me,Geek USA (Album Version),2006,325.11955
Between The Buried And Me,Foam Born (A) The Backtrack (Album Version),2007,133.82485
Between The Buried And Me,Prequel To The Sequel (Album Version),2007,516.62322
Beyoncé,Krazy In Luv,2003,254.98077
Beyoncé,Be With You,2003,260.20526
Beyoncé,Ring The Alarm,2006,161.38404
Beyoncé,Ring The Alarm,2006,212.16608
Beyoncé,Irreplaceable (Irreemplazable),2007,230.55628
Beyoncé,Single Ladies (Put A Ring On It),2008,466.05016
Beyoncé feat. Slim Thug,Check On It,2005,211.17342
Big Audio Dynamite,Badrock City,1986,424.22812
Big Daddy Kane,Flame On,2001,190.82404
Big Dee Irwin,Swinging On A Star,1990,156.02893
Big Jay Oakerson,It's All In How You Look At It,2009,172.5122
Big John Greer,Bottle It Up And Go,1992,145.73669
Big Mama Thornton with Kansas Bill and his Orchestra,Hound Dog,1953,169.84771
Big Maybelle,Tell Me Who,1995,130.87302
Big Star,Till The End Of The Day (Alternate Mix),2009,133.45914
BigElf,Falling Bombs,2003,298.13506
BigElf,Superstar,2008,225.59302
Bikini Machine,The Race,2009,280.76363
Bill Cosby,Wives ( LP Version ),1967,157.43955
Bill Cosby,Hold On I'm A Comin' (Album Version),1968,156.39465
Bill Cosby,Fat Albert's Car,1973,498.33751
Bill Douglas,Highland,1990,201.9522
Bill Douglas,Sapphire,1993,273.97179
Bill Engvall,T-Ball and Indian Guides (LP Version),1998,482.21995
Bill Laswell,Digitaria,1996,381.30893
Bill Perry,Man  On The Side,2004,217.88689
Billie Jo Spears,Misty Blue,1976,159.81669
Billie Jo Spears,What I've Got In Mind,1976,175.20281
Billie Jo Spears,'57 Chevrolet,1990,173.68771
Billie Jo Spears,It Makes No Difference Now,1992,133.32853
Billy Bragg,This Guitar Says Sorry,1984,153.88689
Billy Bragg,Loving You Too Long,2006,173.50485
Billy Bragg,Goodbye (Solo Version),2008,180.1922
Billy Pilgrim,Caroline (LP Version),1995,220.26404
Bitty McLean,Over The River,1995,216.21506
Bizarre Inc,Miracle,1996,420.10077
Bizzy Bone Presents,Intro,2004,50.9122
Black Debbath,The Four Big Ones (Essential Authors And Works),2001,265.7171
Black Debbath,Ville Eyolf,2006,276.21832
Black Debbath,Where To Piss And Shit In Oslo,2009,278.46485
Black Eyed Peas,Tell Your Momma Come,2000,196.362
Black Eyed Peas,Let's Get It Started,2004,223.03302
Black Eyed Peas,Let's Get It Started,2004,229.61587
Black Eyed Peas / Les Nubians / Mos Def,On My Own,2000,235.10159
Black Eyed Peas / Terry Dexter,Magic,2000,275.04281
Black Flag,Jealous Again,1980,136.14975
Black Flag,Room 13,1981,79.51628
Black Flag,Police Story,1981,92.36853
Black Flag,Crass Commercialism,1982,1030.19057
Black Flag,Out Of This World,1985,133.25016
Black History,Problem Inna the System,2001,251.402
Black Messiah,Gullveig,2009,488.41098
Black Tambourine,Dream Baby Dream,2010,236.35546
Blackalicious,Ego Trip by Nikki Giovanni,1999,104.93342
Blackalicious,Rock the Spot,1999,260.33587
Blackalicious,World Of Vibrations (Album Version),2005,302.94159
Blind Blake,Dry Bone Shuffle,2006,199.1571
Blind Boy Fuller,Big Leg Woman Gets My Pay,1991,162.29832
Blind Boy Fuller,Precious Lord,1995,167.99302
Blind Boy Fuller,Got To Find My Little Woman,2005,151.19628
Blind Lemon Jefferson,Got The Blues,1926,175.15057
